M,N,n,rho,model,R2,MSE
5000,500,5,0.01,linreg,0.9999070732617017,1.1106292424482593
5000,500,5,0.01,pcr,0.0023398275335196894,11923.700130418814
5000,500,5,0.01,pls,0.9998468847994597,1.82998157793256
5000,500,50,0.01,linreg,0.9999070732617017,1.1106292424482593
5000,500,50,0.01,pcr,0.1481183762332935,10181.403757249564
5000,500,50,0.01,pls,0.9999070732617017,1.110629242448277
5000,500,125,0.01,linreg,0.9999070732617017,1.1106292424482593
5000,500,125,0.01,pcr,0.25677343112175266,8882.79494444992
5000,500,125,0.01,pls,0.9999070793390854,1.1105566075943119
5000,500,250,0.01,linreg,0.9999070732617017,1.1106292424482593
5000,500,250,0.01,pcr,0.5287638656068189,5632.056397751828
5000,500,250,0.01,pls,0.999906925520465,1.1123949962100317
2500,500,5,0.01,linreg,0.9998971246315533,1.2300745445084451
2500,500,5,0.01,pcr,0.010330580145305968,11833.417262294017
2500,500,5,0.01,pls,0.9987503978669753,14.941416957296472
2500,500,50,0.01,linreg,0.9998971246315533,1.2300745445084451
2500,500,50,0.01,pcr,0.11667087275952015,10561.912829547982
2500,500,50,0.01,pls,0.9998971246315533,1.2300745445084198
2500,500,125,0.01,linreg,0.9998971246315533,1.2300745445084451
2500,500,125,0.01,pcr,0.2913205840303922,8473.636818644422
2500,500,125,0.01,pls,0.9998969065145024,1.232682556865873
2500,500,250,0.01,linreg,0.9998971246315533,1.2300745445084451
2500,500,250,0.01,pcr,0.5188711579354177,5752.828399922148
2500,500,250,0.01,pls,0.9998967573104879,1.2344665802214554
1500,500,5,0.01,linreg,0.9998761680920958,1.4806996207030523
1500,500,5,0.01,pcr,0.005697275273252922,11889.210885017157
1500,500,5,0.01,pls,0.9942340658585164,68.94520677901073
1500,500,50,0.01,linreg,0.9998761680920958,1.4806996207030523
1500,500,50,0.01,pcr,0.06896861057994486,11132.654325600484
1500,500,50,0.01,pls,0.9998761680920957,1.4806996207046101
1500,500,125,0.01,linreg,0.9998761680920958,1.4806996207030523
1500,500,125,0.01,pcr,0.2370114167736691,9123.310178327516
1500,500,125,0.01,pls,0.9998761680922049,1.4806996193978543
1500,500,250,0.01,linreg,0.9998761680920958,1.4806996207030523
1500,500,250,0.01,pcr,0.5495439965942372,5386.253387151213
1500,500,250,0.01,pls,0.9998746264608732,1.4991334218544992
1000,500,5,0.01,linreg,0.9998296518599893,2.0363226613411767
1000,500,5,0.01,pcr,0.007007434672305912,11870.122345879725
1000,500,5,0.01,pls,0.9642579080988893,427.2569791334246
1000,500,50,0.01,linreg,0.9998296518599893,2.0363226613411767
1000,500,50,0.01,pcr,0.08874996907769817,10892.981208942729
1000,500,50,0.01,pls,0.9998296518568182,2.0363226992482484
1000,500,125,0.01,linreg,0.9998296518599893,2.0363226613411767
1000,500,125,0.01,pcr,0.23929469219011879,9093.386383898593
1000,500,125,0.01,pls,0.9998296518599893,2.036322661341242
1000,500,250,0.01,linreg,0.9998296518599893,2.0363226613411767
1000,500,250,0.01,pcr,0.5506364780587477,5371.641409478044
1000,500,250,0.01,pls,0.9998299550829287,2.0326979681513127
500,500,5,0.01,linreg,0.9905315368104124,113.25150446355757
500,500,5,0.01,pcr,0.004637108101672505,11905.453159351939
500,500,5,0.01,pls,0.7763450646810992,2675.1181684288126
500,500,50,0.01,linreg,0.9905315368104124,113.25150446355757
500,500,50,0.01,pcr,0.08708080650671735,10919.35090696331
500,500,50,0.01,pls,0.9780881022648513,262.0863950642133
500,500,125,0.01,linreg,0.9905315368104124,113.25150446355757
500,500,125,0.01,pcr,0.21656843567050543,9370.560092806172
500,500,125,0.01,pls,0.9895224810179083,125.32073727363284
500,500,250,0.01,linreg,0.9905315368104124,113.25150446355757
500,500,250,0.01,pcr,0.4970430411527973,6015.826552771587
500,500,250,0.01,pls,0.9903799264513063,115.06490341935734
5000,500,5,0.1,linreg,0.9998965385915719,1.1142872016645513
5000,500,5,0.1,pcr,0.09464776975374167,9750.71206249245
5000,500,5,0.1,pls,0.9998187548376276,1.952024120525689
5000,500,50,0.1,linreg,0.9998965385915719,1.1142872016645513
5000,500,50,0.1,pcr,0.15167680616886647,9136.505022726253
5000,500,50,0.1,pls,0.9998965385915719,1.1142872016645096
5000,500,125,0.1,linreg,0.9998965385915719,1.1142872016645513
5000,500,125,0.1,pcr,0.3189015193377558,7335.482201587112
5000,500,125,0.1,pls,0.9998965386178424,1.1142869187296016
5000,500,250,0.1,linreg,0.9998965385915719,1.1142872016645513
5000,500,250,0.1,pcr,0.541091637976173,4942.477802199985
5000,500,250,0.1,pls,0.9998964163269312,1.1156040011018002
2500,500,5,0.1,linreg,0.9998831199725798,1.2578970913813228
2500,500,5,0.1,pcr,0.0932823928431471,9758.360482295955
2500,500,5,0.1,pls,0.99868840068207,14.115816050851839
2500,500,50,0.1,linreg,0.9998831199725798,1.2578970913813228
2500,500,50,0.1,pcr,0.1892783115812513,8725.224285886394
2500,500,50,0.1,pls,0.9998831199725798,1.257897091381336
2500,500,125,0.1,linreg,0.9998831199725798,1.2578970913813228
2500,500,125,0.1,pcr,0.31007645772336845,7425.159253131463
2500,500,125,0.1,pls,0.9998828043059634,1.2612943879707796
2500,500,250,0.1,linreg,0.9998831199725798,1.2578970913813228
2500,500,250,0.1,pcr,0.5168361159429627,5199.951247708803
2500,500,250,0.1,pls,0.9998826834931135,1.262594611250431
1500,500,5,0.1,linreg,0.9998611373315048,1.4929704085129702
1500,500,5,0.1,pcr,0.09356561868830826,9745.4537149727
1500,500,5,0.1,pls,0.9919590183941462,86.45194365795798
1500,500,50,0.1,linreg,0.9998611373315048,1.4929704085129702
1500,500,50,0.1,pcr,0.19000860956227883,8708.554935454073
1500,500,50,0.1,pls,0.9998611373315038,1.4929704085241216
1500,500,125,0.1,linreg,0.9998611373315048,1.4929704085129702
1500,500,125,0.1,pcr,0.3096638001776991,7422.092124752464
1500,500,125,0.1,pls,0.999861137325609,1.4929704719014034
1500,500,250,0.1,linreg,0.9998611373315048,1.4929704085129702
1500,500,250,0.1,pcr,0.5386011325911497,4960.691473294381
1500,500,250,0.1,pls,0.99986144819991,1.4896281327613905
1000,500,5,0.1,linreg,0.99981080184567,2.0352158870498624
1000,500,5,0.1,pcr,0.09418477116859425,9743.908712945835
1000,500,5,0.1,pls,0.9624776899361004,403.6297385209192
1000,500,50,0.1,linreg,0.99981080184567,2.0352158870498624
1000,500,50,0.1,pcr,0.17343810016562278,8891.375902319132
1000,500,50,0.1,pls,0.9998108018467563,2.035215875364333
1000,500,125,0.1,linreg,0.99981080184567,2.0352158870498624
1000,500,125,0.1,pcr,0.3110237250665041,7411.359088098275
1000,500,125,0.1,pls,0.99981080184567,2.0352158870498473
1000,500,250,0.1,linreg,0.99981080184567,2.0352158870498624
1000,500,250,0.1,pcr,0.5409713875051834,4937.798299715014
1000,500,250,0.1,pls,0.9998090040221884,2.0545551820066357
500,500,5,0.1,linreg,0.9216777523221855,842.2530613104483
500,500,5,0.1,pcr,0.09949599974350054,9683.739594122764
500,500,5,0.1,pls,0.7835930376702256,2327.1730819182935
500,500,50,0.1,linreg,0.9216777523221855,842.2530613104483
500,500,50,0.1,pcr,0.18703604547251573,8742.361203070734
500,500,50,0.1,pls,0.9784502780284416,231.73899931469063
500,500,125,0.1,linreg,0.9216777523221855,842.2530613104483
500,500,125,0.1,pcr,0.3280049139364948,7226.42589051856
500,500,125,0.1,pls,0.9901459541789879,105.96734012514555
500,500,250,0.1,linreg,0.9216777523221855,842.2530613104483
500,500,250,0.1,pcr,0.5432301399291872,4911.960833166459
500,500,250,0.1,pls,0.9867264814198711,142.73928532366986
5000,500,5,0.2,linreg,0.9999177545388747,1.0973401357796655
5000,500,5,0.2,pcr,0.2868390552546728,9515.17709587312
5000,500,5,0.2,pls,0.999841654056443,2.112692382356843
5000,500,50,0.2,linreg,0.9999177545388747,1.0973401357796655
5000,500,50,0.2,pcr,0.33341974176226685,8893.685573331342
5000,500,50,0.2,pls,0.9999177545388747,1.0973401357797146
5000,500,125,0.2,linreg,0.9999177545388747,1.0973401357796655
5000,500,125,0.2,pcr,0.45158241067280247,7317.128795946017
5000,500,125,0.2,pls,0.9999176323781085,1.0989700362001316
5000,500,250,0.2,linreg,0.9999177545388747,1.0973401357796655
5000,500,250,0.2,pcr,0.6235155863335986,5023.152061630384
5000,500,250,0.2,pls,0.9999175137672237,1.1005525731898906
2500,500,5,0.2,linreg,0.9999081197911511,1.2242604987983883
2500,500,5,0.2,pcr,0.28567921211443936,9517.987987128747
2500,500,5,0.2,pls,0.9988361102977534,15.508281982268693
2500,500,50,0.2,linreg,0.9999081197911511,1.2242604987983883
2500,500,50,0.2,pcr,0.34008965363215604,8792.994486277465
2500,500,50,0.2,pls,0.9999081197911511,1.224260498798331
2500,500,125,0.2,linreg,0.9999081197911511,1.2242604987983883
2500,500,125,0.2,pcr,0.46035183530426227,7190.557570155706
2500,500,125,0.2,pls,0.999908112143106,1.2243624053953746
2500,500,250,0.2,linreg,0.9999081197911511,1.2242604987983883
2500,500,250,0.2,pcr,0.6435032025888672,4750.151882395781
2500,500,250,0.2,pls,0.9999079502064252,1.2265201353805497
1500,500,5,0.2,linreg,0.9998885149443199,1.4864670585514408
1500,500,5,0.2,pcr,0.2861376838767884,9518.16197054248
1500,500,5,0.2,pls,0.9901479471825532,131.36067325707214
1500,500,50,0.2,linreg,0.9998885149443199,1.4864670585514408
1500,500,50,0.2,pcr,0.33701745757651946,8839.76514784901
1500,500,50,0.2,pls,0.999888514944322,1.486467058523488
1500,500,125,0.2,linreg,0.9998885149443199,1.4864670585514408
1500,500,125,0.2,pcr,0.4704365249685746,7060.844668767272
1500,500,125,0.2,pls,0.9998885149335253,1.4864672024802261
1500,500,250,0.2,linreg,0.9998885149443199,1.4864670585514408
1500,500,250,0.2,pcr,0.6612664912802795,4516.445717927468
1500,500,250,0.2,pls,0.9998880802152097,1.4922634453210604
1000,500,5,0.2,linreg,0.9998529441606047,1.96139297756178
1000,500,5,0.2,pcr,0.2849296819412134,9537.424056536507
1000,500,5,0.2,pls,0.9641390864848192,478.30364456680354
1000,500,50,0.2,linreg,0.9998529441606047,1.96139297756178
1000,500,50,0.2,pcr,0.3473660447172028,8704.66390231989
1000,500,50,0.2,pls,0.999852944176328,1.9613927678486462
1000,500,125,0.2,linreg,0.9998529441606047,1.96139297756178
1000,500,125,0.2,pcr,0.46249279679404476,7169.132882392534
1000,500,125,0.2,pls,0.9998529441606047,1.9613929775617234
1000,500,250,0.2,linreg,0.9998529441606047,1.96139297756178
1000,500,250,0.2,pcr,0.6510388746847768,4654.353770986542
1000,500,250,0.2,pls,0.9998522479105252,1.9706793821152981
500,500,5,0.2,linreg,0.9277004959856403,964.1469729265276
500,500,5,0.2,pcr,0.28654238623663575,9514.283783810035
500,500,5,0.2,pls,0.8362896186975106,2183.152854521565
500,500,50,0.2,linreg,0.9277004959856403,964.1469729265276
500,500,50,0.2,pcr,0.3549106534322025,8602.561652939738
500,500,50,0.2,pls,0.9860512430961154,186.01305677418247
500,500,125,0.2,linreg,0.9277004959856403,964.1469729265276
500,500,125,0.2,pcr,0.46785805470283626,7096.356368137636
500,500,125,0.2,pls,0.9931487342964004,91.36476354704975
500,500,250,0.2,linreg,0.9277004959856403,964.1469729265276
500,500,250,0.2,pcr,0.6596862820888375,4538.239168338578
500,500,250,0.2,pls,0.9882551942563874,156.6223594433659
5000,500,5,0.5,linreg,0.9998627598502744,1.1128304975074574
5000,500,5,0.5,pcr,0.2978566969022427,5693.424867796371
5000,500,5,0.5,pls,0.9998067740824074,1.5667987424657999
5000,500,50,0.5,linreg,0.9998627598502744,1.1128304975074574
5000,500,50,0.5,pcr,0.37660642542206435,5054.8719389157795
5000,500,50,0.5,pls,0.9998627598502744,1.1128304975074568
5000,500,125,0.5,linreg,0.9998627598502744,1.1128304975074574
5000,500,125,0.5,pcr,0.4953365436683038,4092.1325596505917
5000,500,125,0.5,pls,0.9998627572689436,1.1128514285808393
5000,500,250,0.5,linreg,0.9998627598502744,1.1128304975074574
5000,500,250,0.5,pcr,0.6693310160626655,2681.274617092893
5000,500,250,0.5,pls,0.9998621980305414,1.1173860895422394
2500,500,5,0.5,linreg,0.9998451307426445,1.255978561271983
2500,500,5,0.5,pcr,0.2878580635494249,5775.419989980164
2500,500,5,0.5,pls,0.9990166032552659,7.975277015599417
2500,500,50,0.5,linreg,0.9998451307426445,1.255978561271983
2500,500,50,0.5,pcr,0.3649972959761977,5149.826351737474
2500,500,50,0.5,pls,0.9998451307426445,1.2559785612719339
2500,500,125,0.5,linreg,0.9998451307426445,1.255978561271983
2500,500,125,0.5,pcr,0.5011890838206159,4045.320727608456
2500,500,125,0.5,pls,0.999845310725431,1.2545189137912012
2500,500,250,0.5,linreg,0.9998451307426445,1.255978561271983
2500,500,250,0.5,pcr,0.6529854206081105,2814.2633315817548
2500,500,250,0.5,pls,0.99984474192564,1.2591318392706825
1500,500,5,0.5,linreg,0.9998116064762308,1.5269461580526884
1500,500,5,0.5,pcr,0.2897020115269806,5757.027963975431
1500,500,5,0.5,pls,0.9933749254725724,53.69681448741811
1500,500,50,0.5,linreg,0.9998116064762308,1.5269461580526884
1500,500,50,0.5,pcr,0.357756489673278,5205.440404781785
1500,500,50,0.5,pls,0.9998116064762316,1.526946158045924
1500,500,125,0.5,linreg,0.9998116064762308,1.5269461580526884
1500,500,125,0.5,pcr,0.49727438315968564,4074.6355491986924
1500,500,125,0.5,pls,0.9998116095295094,1.5269214109596052
1500,500,250,0.5,linreg,0.9998116064762308,1.5269461580526884
1500,500,250,0.5,pcr,0.6749034143947952,2634.936554368672
1500,500,250,0.5,pls,0.9998095976806797,1.5432276235067865
1000,500,5,0.5,linreg,0.999735403681773,2.1451925140979275
1000,500,5,0.5,pcr,0.29153971629210984,5743.782480913298
1000,500,5,0.5,pls,0.9718867652075133,227.92569914824898
1000,500,50,0.5,linreg,0.999735403681773,2.1451925140979275
1000,500,50,0.5,pcr,0.34140733446024885,5339.484938502113
1000,500,50,0.5,pls,0.9997354036942944,2.1451924125825417
1000,500,125,0.5,linreg,0.999735403681773,2.1451925140979275
1000,500,125,0.5,pcr,0.48270580063715884,4193.919444895013
1000,500,125,0.5,pls,0.999735403681773,2.1451925140979666
1000,500,250,0.5,linreg,0.999735403681773,2.1451925140979275
1000,500,250,0.5,pcr,0.6721353488213295,2658.1352305237547
1000,500,250,0.5,pls,0.999736007180731,2.140299696785006
500,500,5,0.5,linreg,0.9381576498564204,501.27841604739683
500,500,5,0.5,pcr,0.2834334030848753,5808.307217628898
500,500,5,0.5,pls,0.8473461047350047,1237.3737842148685
500,500,50,0.5,linreg,0.9381576498564204,501.27841604739683
500,500,50,0.5,pcr,0.3630869326774391,5162.655895290041
500,500,50,0.5,pls,0.9871713689181129,103.98563207663604
500,500,125,0.5,linreg,0.9381576498564204,501.27841604739683
500,500,125,0.5,pcr,0.4895022886287711,4137.965060478187
500,500,125,0.5,pls,0.9907427110059747,75.03723828483527
500,500,250,0.5,linreg,0.9381576498564204,501.27841604739683
500,500,250,0.5,pcr,0.6572170978063061,2778.5113253433447
500,500,250,0.5,pls,0.987810969601504,98.80119104668242
5000,500,5,0.9,linreg,0.9998608808852614,1.0946779774734012
5000,500,5,0.9,pcr,0.8448305066714704,1220.972599211766
5000,500,5,0.9,pls,0.9998468253800389,1.2052756624729681
5000,500,50,0.9,linreg,0.9998608808852614,1.0946779774734012
5000,500,50,0.9,pcr,0.8545754789515363,1144.2929382886803
5000,500,50,0.9,pls,0.9998608808852614,1.0946779774734003
5000,500,125,0.9,linreg,0.9998608808852614,1.0946779774734012
5000,500,125,0.9,pcr,0.8788977109442986,952.910095064725
5000,500,125,0.9,pls,0.9998608694965125,1.0947675914174861
5000,500,250,0.9,linreg,0.9998608808852614,1.0946779774734012
5000,500,250,0.9,pcr,0.928234896236031,564.693635300315
5000,500,250,0.9,pls,0.9998604710745219,1.0979026299032384
2500,500,5,0.9,linreg,0.999844864896667,1.2210403708715691
2500,500,5,0.9,pcr,0.845047208920997,1219.6054240580622
2500,500,5,0.9,pls,0.9996640767039171,2.643991573932621
2500,500,50,0.9,linreg,0.999844864896667,1.2210403708715691
2500,500,50,0.9,pcr,0.8556973447159189,1135.7801293215575
2500,500,50,0.9,pls,0.999844864896667,1.2210403708715771
2500,500,125,0.9,linreg,0.999844864896667,1.2210403708715691
2500,500,125,0.9,pcr,0.878477790173056,956.4793587544872
2500,500,125,0.9,pls,0.9998448557820321,1.2211121105162457
2500,500,250,0.9,linreg,0.999844864896667,1.2210403708715691
2500,500,250,0.9,pcr,0.9240019943203984,598.1665725348605
2500,500,250,0.9,pls,0.9998443541868318,1.2250600757169179
1500,500,5,0.9,linreg,0.9998090444369612,1.502815184071923
1500,500,5,0.9,pcr,0.8445070738110048,1223.7251786429565
1500,500,5,0.9,pls,0.9981674969930475,14.421749750989333
1500,500,50,0.9,linreg,0.9998090444369612,1.502815184071923
1500,500,50,0.9,pcr,0.8550614448011529,1140.6625606709683
1500,500,50,0.9,pls,0.9998090444369614,1.5028151840703077
1500,500,125,0.9,linreg,0.9998090444369612,1.502815184071923
1500,500,125,0.9,pcr,0.875420519855051,980.4371834274085
1500,500,125,0.9,pls,0.9998090635061884,1.502665109762269
1500,500,250,0.9,linreg,0.9998090444369612,1.502815184071923
1500,500,250,0.9,pcr,0.9197116817125882,631.8669218417419
1500,500,250,0.9,pls,0.9998074829598133,1.5151039675463385
1000,500,5,0.9,linreg,0.9997335026451276,2.098131559772061
1000,500,5,0.9,pcr,0.8440272065138398,1227.9725651903882
1000,500,5,0.9,pls,0.9929165481625964,55.76796009587965
1000,500,50,0.9,linreg,0.9997335026451276,2.098131559772061
1000,500,50,0.9,pcr,0.8536086080477004,1152.5382669600494
1000,500,50,0.9,pls,0.9997335026508397,2.098131514800921
1000,500,125,0.9,linreg,0.9997335026451276,2.098131559772061
1000,500,125,0.9,pcr,0.8740556341492469,991.5589927466992
1000,500,125,0.9,pls,0.9997335026451276,2.0981315597719963
1000,500,250,0.9,linreg,0.9997335026451276,2.098131559772061
1000,500,250,0.9,pcr,0.9234139272706297,602.9615427493598
1000,500,250,0.9,pls,0.9997336074174171,2.0973066883680866
500,500,5,0.9,linreg,0.8655637858638553,1058.3338598611172
500,500,5,0.9,pcr,0.8431844418556869,1234.5127092694981
500,500,5,0.9,pls,0.9646556187804396,278.24463550140337
500,500,50,0.9,linreg,0.8655637858638553,1058.3338598611172
500,500,50,0.9,pcr,0.854329157012052,1146.777202253926
500,500,50,0.9,pls,0.9936464369736139,50.01770486318885
500,500,125,0.9,linreg,0.8655637858638553,1058.3338598611172
500,500,125,0.9,pcr,0.8746571281880557,986.747552980566
500,500,125,0.9,pls,0.9936247996631024,50.188042137991054
500,500,250,0.9,linreg,0.8655637858638553,1058.3338598611172
500,500,250,0.9,pcr,0.9207335776673937,624.0159263908766
500,500,250,0.9,pls,0.9907904909406372,72.5008163377073
5000,500,5,0.99,linreg,0.9999347371188261,1.1089017081332415
5000,500,5,0.99,pcr,0.9932019312246914,115.50807965176325
5000,500,5,0.99,pls,0.999934496975147,1.1129820633213825
5000,500,50,0.99,linreg,0.9999347371188261,1.1089017081332415
5000,500,50,0.99,pcr,0.993741666799615,106.33726631642135
5000,500,50,0.99,pls,0.9999347371188261,1.1089017081332329
5000,500,125,0.99,linreg,0.9999347371188261,1.1089017081332415
5000,500,125,0.99,pcr,0.9947169564052678,89.76582034010951
5000,500,125,0.99,pls,0.99993473716153,1.1089009825369787
5000,500,250,0.99,linreg,0.9999347371188261,1.1089017081332415
5000,500,250,0.99,pcr,0.9961676369693062,65.11686021942994
5000,500,250,0.99,pls,0.9999345186834394,1.1126132110414215
2500,500,5,0.99,linreg,0.9999257340936687,1.2610228682470264
2500,500,5,0.99,pcr,0.9931644547340476,116.06643375291436
2500,500,5,0.99,pls,0.9999163678877491,1.4200595034506627
2500,500,50,0.99,linreg,0.9999257340936687,1.2610228682470264
2500,500,50,0.99,pcr,0.9937974945032233,105.31752264585768
2500,500,50,0.99,pls,0.9999257340936687,1.2610228682470297
2500,500,125,0.99,linreg,0.9999257340936687,1.2610228682470264
2500,500,125,0.99,pcr,0.9948904741375358,86.75890831685861
2500,500,125,0.99,pls,0.999925735033483,1.2610069103534347
2500,500,250,0.99,linreg,0.9999257340936687,1.2610228682470264
2500,500,250,0.99,pcr,0.9960021125265031,67.88347140432431
2500,500,250,0.99,pls,0.9999255848278289,1.263557377644115
1500,500,5,0.99,linreg,0.9999088862083376,1.5471442233602473
1500,500,5,0.99,pcr,0.9931892523429516,115.64889027348649
1500,500,5,0.99,pls,0.9998429642486564,2.6665222807597706
1500,500,50,0.99,linreg,0.9999088862083376,1.5471442233602473
1500,500,50,0.99,pcr,0.9937854956693204,105.52446891775494
1500,500,50,0.99,pls,0.9999088862083376,1.5471442233593704
1500,500,125,0.99,linreg,0.9999088862083376,1.5471442233602473
1500,500,125,0.99,pcr,0.9947381447779673,89.34815204584356
1500,500,125,0.99,pls,0.9999089570945712,1.5459405501865655
1500,500,250,0.99,linreg,0.9999088862083376,1.5471442233602473
1500,500,250,0.99,pcr,0.9962007370629659,64.5128207136657
1500,500,250,0.99,pls,0.9999078137101095,1.5653556204265253
1000,500,5,0.99,linreg,0.9998781170321583,2.0690611160366577
1000,500,5,0.99,pcr,0.9931729523862676,115.89460779499765
1000,500,5,0.99,pls,0.9995848476963333,7.047543261872692
1000,500,50,0.99,linreg,0.9998781170321583,2.0690611160366577
1000,500,50,0.99,pcr,0.9938025988045667,105.20585493621981
1000,500,50,0.99,pls,0.999878117033272,2.0690610971302514
1000,500,125,0.99,linreg,0.9998781170321583,2.0690611160366577
1000,500,125,0.99,pcr,0.994847241872669,87.47220116471763
1000,500,125,0.99,pls,0.9998781170321582,2.069061116037806
1000,500,250,0.99,linreg,0.9998781170321583,2.0690611160366577
1000,500,250,0.99,pcr,0.9965673326459258,58.27228096240401
